,연도,월,일,시간,시군구명,읍면동명,온도,습도,시간단위풍속,현장소방서거리,화재진압시간,전체인력수합계,damagearea
362,2018.0,4.0,21.0,16,춘천시,서면,27.0,12.0,225.0,13.0,201530.0,163.0,0.5
374,2018.0,6.0,23.0,14,춘천시,북산면,29.0,41.0,225.0,27.0,24112.0,61.0,0.01
375,2018.0,6.0,24.0,16,홍천군,북방면,33.0,30.0,225.0,8.0,33029.0,138.0,1.0
378,2018.0,7.0,29.0,13,춘천시,남면,34.0,45.0,45.0,34.0,51925.0,65.0,0.01
379,2018.0,7.0,31.0,15,원주시,부론면,36.0,36.0,0.0,40.0,22401.0,65.0,0.2
381,2018.0,8.0,3.0,10,횡성군,우천면,37.0,59.0,270.0,18.0,42355.0,107.0,0.3
382,2018.0,8.0,5.0,16,홍천군,동면,35.0,48.0,270.0,10.0,3708.0,59.0,0.03
383,2018.0,8.0,5.0,18,강릉시,왕산면,27.0,71.0,0.0,30.0,11212.0,131.0,0.02
386,2018.0,8.0,17.0,13,춘천시,동면,29.0,34.0,135.0,10.0,63115.0,232.0,0.5
388,2018.0,10.0,4.0,13,인제군,남면,22.0,51.0,315.0,15.0,21058.0,115.0,0.01
390,2018.0,11.0,22.0,14,철원군,서면,4.0,0.0,135.0,17.0,4412.0,91.0,0.1
399,2017.0,1.0,11.0,14,춘천시,서면,1.0,23.0,135.0,11.0,3101.0,64.0,0.05
400,2017.0,1.0,12.0,16,강릉시,사천면,4.0,19.0,315.0,12.0,1911.0,129.0,0.03
402,2017.0,1.0,14.0,21,양양군,현북면,-4.0,37.0,270.0,14.0,80217.0,133.0,0.04
403,2017.0,1.0,16.0,13,양양군,서면,5.0,37.0,45.0,19.0,703.0,121.0,0.02
405,2017.0,2.0,21.0,11,강릉시,강동면,5.0,35.0,135.0,12.0,4823.0,115.0,0.03
408,2017.0,2.0,28.0,10,홍천군,내촌면,0.0,0.0,,39.0,3751.0,110.0,0.2
410,2017.0,3.0,9.0,10,강릉시,옥계면,7.0,24.0,225.0,30.0,235419.0,2456.0,75.0
412,2017.0,3.0,10.0,11,춘천시,동면,8.0,28.0,225.0,5.0,2607.0,73.0,0.01
413,2017.0,3.0,10.0,21,홍천군,홍천읍,4.0,30.0,0.0,11.0,12652.0,137.0,0.2
417,2017.0,3.0,11.0,14,양구군,남면,13.0,17.0,135.0,50.0,33602.0,171.0,0.3
420,2017.0,3.0,11.0,16,홍천군,서면,16.0,19.0,270.0,33.0,13927.0,70.0,0.05
421,2017.0,3.0,12.0,17,춘천시,서면,13.0,35.0,225.0,26.0,5509.0,236.0,0.3
422,2017.0,3.0,13.0,15,영월군,김삿갓면,13.0,0.0,270.0,23.0,10948.0,65.0,0.3
423,2017.0,3.0,14.0,12,춘천시,서면,1.0,75.0,135.0,23.0,5234.0,154.0,0.3
425,2017.0,3.0,14.0,12,화천군,상서면,10.0,41.0,0.0,55.0,1942.0,101.0,0.1
426,2017.0,3.0,14.0,15,홍천군,서면,11.0,36.0,135.0,43.0,12828.0,157.0,0.5
427,2017.0,3.0,15.0,11,춘천시,동산면,8.0,30.0,225.0,17.0,3007.0,82.0,0.05
429,2017.0,3.0,17.0,13,철원군,동송읍,13.0,35.0,270.0,13.0,1641.0,34.0,0.1
430,2017.0,3.0,18.0,13,고성군,토성면,17.0,23.0,,23.0,2551.0,24.0,0.1
431,2017.0,3.0,19.0,10,평창군,용평면,13.0,30.0,45.0,38.0,15538.0,202.0,0.3
433,2017.0,3.0,19.0,10,화천군,하남면,13.0,34.0,135.0,50.0,40000.0,278.0,1.5
435,2017.0,3.0,19.0,14,영월군,영월읍,18.0,10.0,45.0,6.0,13733.0,132.0,0.2
